# chan0	amplitude
# "chan0"	"amplitude"
# 400
1.7	0.034
1.8	0.031
1.9	0.029
2	0.027
2.1	0.025
2.2	0.023
2.3	0.022
2.4	0.02
2.5	0.019
2.6	0.018
2.7	0.017
2.8	0.016
2.9	0.015
3	0.014
3.1	0.013
3.2	0.013
3.3	0.012
3.4	0.011
3.5	0.011
3.6	0.01
3.7	0.01
3.8	0.01
3.9	0.009
4	0.009
4.1	0.008
4.2	0.008
4.3	0.008
4.4	0.007
4.5	0.007
4.6	0.007
4.7	0.007
4.8	0.006
4.9	0.006
5	0.006
5.1	0.006
5.2	0.006
5.3	0.007
5.4	0.007
5.5	0.007
5.6	0.007
5.7	0.008
5.8	0.008
5.9	0.008
6	0.009
6.1	0.009
6.2	0.01
6.3	0.01
6.4	0.01
6.5	0.011
6.6	0.011
6.7	0.012
6.8	0.013
6.9	0.013
7	0.014
7.1	0.015
7.2	0.016
7.3	0.017
7.4	0.018
7.5	0.019
7.6	0.02
7.7	0.022
7.8	0.023
7.9	0.025
8	0.027
8.1	0.029
8.2	0.031
8.3	0.034
8.4	0.037
8.5	0.04
8.6	0.044
8.7	0.048
8.8	0.053
8.9	0.058
9	0.064
9.1	0.071
9.2	0.077
9.3	0.085
9.4	0.092
9.5	0.099
9.6	0.106
9.7	0.111
9.8	0.115
9.9	0.117
10	0.117
10.1	0.117
10.2	0.115
10.3	0.111
10.4	0.106
10.5	0.099
10.6	0.092
10.7	0.085
10.8	0.077
10.9	0.071
11	0.064
11.1	0.058
11.2	0.053
11.3	0.048
11.4	0.044
11.5	0.04
11.6	0.037
11.7	0.034
11.8	0.031
11.9	0.029
12	0.027
12.1	0.025
12.2	0.023
12.3	0.022
12.4	0.02
12.5	0.019
12.6	0.018
12.7	0.017
12.8	0.016
12.9	0.015
13	0.014
13.1	0.013
13.2	0.013
13.3	0.012
13.4	0.011
13.5	0.011
13.6	0.01
13.7	0.01
13.8	0.01
13.9	0.009
14	0.009
14.1	0.008
14.2	0.008
14.3	0.008
14.4	0.007
14.5	0.007
14.6	0.007
14.7	0.007
14.8	0.006
14.9	0.006
15	0.006
15.1	0.006
15.2	0.006
15.3	0.007
15.4	0.007
15.5	0.007
15.6	0.007
15.7	0.008
15.8	0.008
15.9	0.008
16	0.009
16.1	0.009
16.2	0.01
16.3	0.01
16.4	0.01
16.5	0.011
16.6	0.011
16.7	0.012
16.8	0.013
16.9	0.013
17	0.014
17.1	0.015
17.2	0.016
17.3	0.017
17.4	0.018
17.5	0.019
17.6	0.02
17.7	0.022
17.8	0.023
17.9	0.025
18	0.027
18.1	0.029
18.2	0.031
18.3	0.034
18.4	0.037
18.5	0.04
18.6	0.044
18.7	0.048
18.8	0.053
18.9	0.058
19	0.064
19.1	0.071
19.2	0.077
19.3	0.085
19.4	0.092
19.5	0.099
19.6	0.106
19.7	0.111
19.8	0.115
19.9	0.117
